City,Avg_Household_Size,Median_Age,Dependency_Ratio,Population
"(1) 2000-2006 dönemi yıl sonu nüfusları, ADNKS sonuçlarına göre tahmin edilmiştir.",,,,
(1) End of the year populations for the 2000-2006 period were estimated based on ABPRS results.,,,,
(3) 2007-2025 dönemi için ADNKS sonuçlarıdır.,,,,
(3) ABPRS results for the period 2007-2025.,,,,
2007,,,Toplam-Total,
2008,,,Toplam-Total,
2009,,,Toplam-Total,
2010,,,Toplam-Total,
2011,,,Toplam-Total,
2012,,,Toplam-Total,
2013,,,Toplam-Total,
2014,,,Toplam-Total,
2015,,,Toplam-Total,
2016,,,Toplam-Total,
2017,,,Toplam-Total,
2018,,,Toplam-Total,
2019,,,Toplam-Total,
2020,,,Toplam-Total,
2021,,,Toplam-Total,
2022,,,Toplam-Total,
2023,,,Toplam-Total,
2024,,,Toplam-Total,
2025,,,Toplam-Total,
Siirt,4.294854801783347,24.50127276584139,,336453.0
Sinop,2.56604087848288,43.39140514750353,,226957.0
Sivas,3.0049663425579656,36.385140812945664,,637007.0
"Source: TurkStat, Address Based Population Registration System (ABPRS), 2007-2025",,,,
"Source: TurkStat, Population Estimates, 2000-2006, Address Based Population Registration System (ABPRS), 2007-2025",,,,
"Source: TurkStat, The Results of Address Based Population Registration System (ABPRS), 2008-2025",,,,
Tekirdağ,2.993208932395228,35.60595720555194,,1187162.0
Tokat,2.935149753295166,39.36750965491466,,612674.0
Trabzon,2.827481779878153,38.65846591507744,,822270.0
Tunceli,2.4941233295765577,39.87218045112782,,86612.0
"TurkStat, The Results of Address Based Population Registration System, 2025",,,,
"TÜİK, Adrese Dayalı Nüfus Kayıt Sistemi Sonuçları, 2025",,,,
Uşak,2.749306176747173,38.930366784583875,,375310.0
Van,4.175991606589752,25.534027194734758,,1118087.0
Yalova,2.8697130344589143,37.15445814895019,,307882.0
Yozgat,2.831853368122126,37.78980764335842,,413161.0
Zonguldak,2.7069194975297766,41.65833653722927,,586802.0
Çanakkale,2.5132135452660678,41.66304398094621,,568966.0
Çankırı,2.690447212001132,40.061192341869294,,199981.0
Çorum,2.713760892937217,40.86902250821029,,521335.0
İstanbul,3.0912271219472123,34.51771124343605,,15701602.0
İzmir,2.7485208462468305,38.96431033411539,,4493242.0
Şanlıurfa,4.632831454408503,21.44432399331358,,2237745.0
Şırnak,4.844663194137901,23.00607020321985,,570826.0
