City,Total_Dependency_Ratio,Child_Dependency_Ratio,Elderly_Dependency_Ratio
Kastamonu,54.963149071895,22.289203310261566,32.67394576163343
Kayseri,46.402284652350126,30.3141898705852,16.088094781764926
Kırklareli,46.22190892211924,21.30877265968675,24.91313626243249
Kırşehir,47.46826216363968,25.135758974670473,22.332503188969206
Kocaeli,42.790666021814,29.878416199544905,12.91224982226909
Konya,48.47235747272304,31.739725168166444,16.732632304556603
Kütahya,45.740161201732086,22.632365526843536,23.10779567488855
Malatya,47.28885493922187,28.84418272022573,18.44467221899614
Manisa,47.74486906723401,27.442891878489274,20.30197718874474
Kahramanmaraş,50.90746323674614,35.84196737713767,15.065495859608474
Mardin,58.770846255625045,48.970228797045195,9.800617458579845
Muğla,44.259075338197306,23.11142832027688,21.147647017920423
Muş,57.94927789188268,47.629910456969824,10.319367434912852
Nevşehir,47.219092727565354,27.14505782539719,20.074034902168165
Niğde,47.81548128880486,30.28920351607059,17.526277772734268
Ordu,51.045398946735,25.06518994560622,25.980209001128777
Rize,47.54911967338607,24.303819001445948,23.245300671940118
Sakarya,45.40315108978639,28.034631967412516,17.368519122373876
Samsun,46.8073373988883,25.786436060291674,21.020901338596623
Siirt,56.63375668606706,47.18537194561606,9.448384740451
Sinop,57.03299912391706,23.02707513454131,34.00592398937576
Sivas,49.5162161138159,26.923295508363804,22.5929206054521
Tekirdağ,43.37846287461454,28.016226227497025,15.36223664711752
Tokat,50.61593660868222,25.609376264552314,25.006560344129902
Trabzon,49.33587026117176,26.1180832288876,23.21778703228416
Tunceli,45.57291221106301,19.723852379078483,25.849059831984533
Şanlıurfa,70.35705961519665,62.674075020864194,7.682984594332459
Uşak,46.30052947267648,24.414356329249944,21.88617314342653
Van,52.535321390359655,44.349537735590246,8.185783654769416
Yozgat,49.814005090387,25.86018113656305,23.953823953823957
Zonguldak,45.68414186953718,21.209231925873738,24.474909943663445
Aksaray,49.134206451700145,32.737881932940724,16.39632451875942
Bayburt,44.972785663032255,25.661982183797406,19.31080347923485
Karaman,47.35485247945721,28.66330043865808,18.691552040799134
Kırıkkale,44.73448542318065,23.60846003080655,21.1260253923741
Batman,54.000938936584596,46.042986562051155,7.957952374533436
Şırnak,57.983790348565336,51.97388169653308,6.009908652032265
Bartın,46.37952161379203,20.90690805550243,25.4726135582896
Ardahan,49.668018875734745,26.879708585147778,22.78831029058697
Iğdır,51.858324508852874,38.98741863582171,12.870905873031155
Yalova,47.80148638586274,27.04330628370335,20.758180102159386
Karabük,43.873057592105866,20.851777562595103,23.021280029510766
Kilis,52.5145620717394,39.78425842467944,12.730303647059966
Osmaniye,50.607504705458325,34.812115387182466,15.795389318275866
Düzce,45.60442255277706,27.28221800270454,18.32220455007252
Adana,48.46891375721761,33.56710054225225,14.901813214965355
Adıyaman,55.332330047232404,41.434868598331356,13.897461448901046
Afyonkarahisar,48.12599712512045,29.39505110019429,18.730946024926155
Ağrı,58.917720975634566,49.69459750781392,9.223123467820656
Amasya,49.21227070867308,24.69220812614128,24.520062582531803
Ankara,40.635502157360314,25.990657794041223,14.644844363319095
Antalya,41.652104770716484,27.359937804485863,14.292166966230624
Artvin,50.645189997330256,22.568301147993235,28.07688884933701
Aydın,49.692704113926084,26.37724662372527,23.31545749020081
Balıkesir,49.396371673956416,23.293661200138615,26.102710473817798
Bilecik,44.66836347059717,25.832573570379374,18.835789900217797
Bingöl,49.03929120104384,36.49483342803628,12.544457773007556
Bitlis,55.638414755474045,46.21553581161163,9.422878943862411
Bolu,45.262413051895166,23.297419260089985,21.96499379180518
Burdur,48.42841076031448,23.27006796497893,25.158342795335546
Bursa,44.41289390486977,28.748645551388783,15.664248353480989
Çanakkale,47.57638636717332,22.230637547336205,25.345748819837112
Çankırı,51.38492517089197,24.595574598224086,26.789350572667882
Çorum,52.10534915068301,25.910732729193047,26.194616421489968
Denizli,44.963758070265776,26.401771190295058,18.561986879970718
Diyarbakır,55.94566644668358,47.4419312700281,8.503735176655486
Edirne,45.7798803298715,20.67787694533172,25.102003384539785
Elazığ,46.584419272394534,29.682361307641337,16.902057964753197
Erzincan,46.37933545302298,26.03516904929492,20.344166403728064
Erzurum,49.37323810936854,34.44884652554165,14.924391583826896
Eskişehir,42.247266968870534,23.56449305224361,18.682773916626925
Gaziantep,54.930028141316875,45.46659207522434,9.46343606609254
Giresun,51.68276908335995,22.740671244543808,28.94209783881614
Gümüşhane,45.447406531095105,23.044444897709425,22.402961633385683
Hakkari,43.58015457491897,37.379858450485656,6.200296124433319
Hatay,51.15452122976056,37.66078827133378,13.493732958426785
Isparta,46.93158142458882,24.9110495982832,22.02053182630562
Mersin,47.1293175424028,31.117548877376866,16.01176866502594
İstanbul,38.31060352677195,26.834698959807778,11.475904566964175
İzmir,43.31678352325319,24.242803129132533,19.07398039412066
Kars,49.95979777731273,35.52940269409964,14.430395083213094
Kastamonu,53.596329684999475,22.56954217565079,31.026787509348686
Kayseri,46.65278683691334,31.331090482085123,15.321696354828221
Kırklareli,45.163094057225585,21.57123324920435,23.591860808021234
Kırşehir,47.00602941972095,25.914482028962855,21.091547390758095
Kocaeli,43.0570191433931,30.727419386253533,12.329599757139565
Konya,48.532255072515504,32.468179045183305,16.064076027332202
Kütahya,45.14590126851882,23.218138980457542,21.927762288061285
Malatya,47.48361055213181,29.688286064645958,17.79532448748585
Manisa,47.41147436153631,28.0255585308341,19.38591583070221
Kahramanmaraş,51.689496006816036,37.163963303635796,14.525532703180236
Mardin,59.74164215030757,50.20486761166087,9.536774538646696
Muğla,44.1082836484924,23.712589845643986,20.39569380284842
Muş,59.33204990739838,49.38062514215161,9.951424765246774
