City,Marital_Total_Pop,Never_Married,Married,Divorced,Widowed,Pct_Married,Pct_Divorced,Pct_Never_Married,Pct_Widowed,Ever_Married_Pop,Pct_Divorced_Ever_Married
Iğdır,152422,53217,86949,5043,7213,0.5704491477608219,0.03308577501935416,0.3491425122357665,0.047322564984057416,99205,0.05083413134418628
Yalova,254615,70775,151179,17036,15625,0.593755277575948,0.06690886240009426,0.2779686978379121,0.0613671621860456,183840,0.09266753698868581
Karabük,213437,63324,124169,10128,15816,0.5817594887484363,0.04745194132226371,0.29668707862273175,0.07410149130656822,150113,0.0674691732228388
Kilis,116314,35890,70095,3961,6368,0.6026359681551662,0.034054370067231804,0.3085613081830218,0.05474835359458019,80424,0.04925146722371431
Osmaniye,433729,122928,270133,17048,23620,0.6228151679966062,0.0393056493801429,0.28342121462941144,0.05445796799383947,310801,0.05485181836609277
Düzce,337746,89618,209135,16810,22183,0.6192079254824632,0.04977112978392046,0.2653414104090056,0.06567953432461081,248128,0.06774729172040238
Adana,1764893,514008,1049117,102796,98972,0.5944366032388366,0.05824489076674903,0.2912403188181946,0.05607818717621975,1250885,0.08217861753878254
Adıyaman,448043,136924,279221,10171,21727,0.6232013445138078,0.02270094611454704,0.3056045959874387,0.04849311338420643,311119,0.032691671032627385
Afyonkarahisar,601320,146204,387518,25203,42395,0.6444455531164771,0.04191279185791259,0.24313842878999534,0.07050322623561497,455116,0.05537709067578376
Ağrı,343510,123717,200976,4549,14268,0.5850659369450671,0.013242700358068179,0.3601554539896946,0.0415359087071701,219793,0.020696746484191945
Amasya,285720,68563,182782,11280,23095,0.6397242055158897,0.039479210415791686,0.23996570068598627,0.08083088338233235,217157,0.05194398522727796
Ankara,4780322,1370441,2870724,295566,243591,0.6005294204030607,0.061829726114684326,0.28668382590126773,0.050957027580987226,3409881,0.08667927121210388
Antalya,2196332,610129,1321831,162864,101508,0.6018356969711318,0.07415272372300727,0.2777945228681274,0.04621705643773346,1586203,0.10267538265909218
Artvin,143920,38119,88652,4667,12482,0.6159811006114508,0.03242773763201779,0.26486242356864925,0.08672873818788215,105801,0.04411111426167995
Aydın,960493,229610,594875,65012,70996,0.6193433996916167,0.06768607371422801,0.2390543189799405,0.07391620761421479,730883,0.0889499413722853
Balıkesir,1077129,233765,685389,67110,90865,0.63631097110931,0.062304515058084965,0.21702600152813636,0.08435851230446864,843364,0.07957418149221451
Bilecik,187694,48002,118218,8237,13237,0.6298443210757936,0.04388526005093397,0.25574605474868667,0.07052436412458576,139692,0.058965438249863986
Bingöl,213911,73120,127139,3541,10111,0.594354661518108,0.01655361341866477,0.34182440360710764,0.0472673214561196,140791,0.025150755374988457
Bitlis,252966,90187,149965,2795,10019,0.5928267039839346,0.01104891566455571,0.35651826727702535,0.03960611307448432,162779,0.017170519538761142
Bolu,274059,73790,168952,12327,18990,0.6164803929080964,0.044979365757008526,0.2692485924563689,0.06929164887852615,200269,0.06155221227449081
Burdur,232583,58089,145702,10691,18101,0.6264516323205049,0.04596638619331594,0.24975600108348417,0.07782598040269495,174494,0.0612685823008241
Bursa,2593898,661707,1647247,129772,155172,0.6350469447911984,0.05002972360516875,0.25510139566012235,0.0598219359435105,1932191,0.06716313242324387
Çanakkale,483258,112845,303135,27887,39391,0.6272736302347814,0.05770623559258201,0.2335088089591895,0.08151132521344706,370413,0.0752862345544028
Çankırı,167490,39545,108546,5835,13564,0.6480745119111588,0.03483790077019524,0.2361036479789838,0.08098393933966207,127945,0.04560553362773066
Çorum,432527,95846,282419,18837,35425,0.652951145246424,0.04355103843228284,0.2215954148527144,0.08190240146857884,336681,0.055949103156994306
Denizli,868067,209305,548818,52253,57691,0.6322300006796711,0.060194662393571005,0.24111618112426805,0.0664591558024899,658762,0.079319997206882
Diyarbakır,1275839,468281,736856,24135,46567,0.5775462264439322,0.01891696366077538,0.3670376904922957,0.03649911940299677,807558,0.029886398252509418
Edirne,361496,91502,219856,19257,30881,0.6081837696682674,0.05327029897979507,0.25312036647708414,0.0854255648748534,269994,0.07132380719571546
Elazığ,481647,146675,289148,16896,28928,0.6003317782525377,0.035079633009237055,0.3045280049496831,0.06006058378854223,334972,0.05044003677919349
Erzincan,198332,59566,117266,8019,13481,0.5912611177217998,0.04043220458624932,0.30033479216667003,0.06797188552528084,138766,0.05778793076113745
Erzurum,573190,188375,338319,12085,34411,0.5902388387794623,0.021083759311921003,0.32864320731345625,0.06003419459516042,384815,0.031404700960201655
Eskişehir,768954,210631,456962,48737,52624,0.594264416336998,0.0633809044494209,0.27391885600439037,0.06843582320919067,558323,0.08729176480281127
Gaziantep,1549687,463980,967080,54741,63886,0.6240485982007979,0.03532390734387009,0.2994023954514686,0.04122509900386336,1085707,0.050419680447855636
Giresun,387569,95510,240572,17281,34206,0.6207204394572321,0.04458818945787718,0.24643353828608583,0.08825783279880486,292059,0.0591695513577736
Gümüşhane,120021,38729,69929,3170,8193,0.5826397047183409,0.026412044558868863,0.32268519675723417,0.06826305396555603,81292,0.038995227082615755
Hakkari,208725,93992,107224,1580,5929,0.5137094262785963,0.007569768834590969,0.45031500778536354,0.028405797101449276,114733,0.013771103344286299
Hatay,1172960,339174,724744,46586,62456,0.6178761424089483,0.03971661437730187,0.2891607556949939,0.05324648751875597,833786,0.05587284986795173
Isparta,370724,98427,230316,16246,25735,0.6212600209320142,0.04382235841218804,0.2654994011717612,0.06941821948403665,272297,0.05966279466905621
Mersin,1540953,432110,929505,94368,84970,0.6032013955000575,0.06124002484177,0.28041737807707307,0.05514120158109949,1108843,0.0851049246827549
İstanbul,12655214,4061498,7295689,734688,563339,0.576496691403243,0.05805417435058783,0.32093475463947113,0.04451437960669808,8593716,0.08549130550741961
İzmir,3733186,982338,2211911,301928,237009,0.5924995432855475,0.0808767631722609,0.2631366344993258,0.06348705904286579,2750848,0.10975815457633428
Kars,207785,69817,122274,4131,11563,0.5884640373462955,0.019881127126597203,0.33600596770700486,0.05564886782010251,137968,0.0299417256175345
Kastamonu,325861,73998,208636,12726,30501,0.6402607246648111,0.03905346144521744,0.22708455445726858,0.09360125943270291,251863,0.05052746929878545
Kayseri,1142153,305831,720210,51728,64384,0.6305722613345147,0.04528990424225126,0.26776710300633977,0.056370731416894235,836322,0.06185177479487566
Kırklareli,322707,79226,199757,17672,26052,0.6190042360407428,0.05476174982259449,0.24550443591245308,0.08072957822420958,243481,0.07258061203954312
Kırşehir,201437,53139,124485,9378,14435,0.6179847793602963,0.04655549874154202,0.26379959987489887,0.07166012202326286,148298,0.06323753523311171
Kocaeli,1672499,455712,1054642,79936,82209,0.6305785534101963,0.04779434845700954,0.27247370551492106,0.049153392617873014,1216787,0.06569432447914056
Konya,1820696,479216,1160864,76479,104137,0.6375935356588909,0.042005364981303854,0.2632048403467685,0.05719625901303677,1341480,0.05701091331961714
Kütahya,479726,113675,307778,19615,38658,0.6415703964346314,0.04088792352301105,0.23695818029458482,0.08058349974777268,366051,0.053585429352740466
Malatya,599418,178227,364076,21048,36067,0.6073824943528556,0.03511406063881965,0.29733341341100866,0.060170031597316063,421191,0.04997257776163308
Manisa,1194862,276106,774618,58719,85419,0.6482907649586312,0.04914291357495677,0.23107773115221675,0.07148859031419529,918756,0.06391141935399605
Kahramanmaraş,856249,236591,547960,29692,42006,0.6399540320631031,0.034676828819654094,0.2763109796332609,0.04905815948398188,619658,0.04791675408047665
